小时,温度,风力方向,风级,降水量,相对湿度,空气质量
10,8,71,东风,0,99,
09,8,122,东南风,0,99,88
08,7,100,东风,0,99,85
07,7,26,东北风,0,97,89
06,7,100,东风,0,96,89
05,7,44,东北风,0,95,92
04,8,170,南风,0,97,92
03,8,150,东南风,0,99,89
02,8,276,西风,0,99,89
01,8,45,东北风,0,99,83
00,8,292,西风,0,95,81
23,8,123,东南风,0,92,80
22,8,27,东北风,0,91,78
21,8,192,南风,0,91,76
20,8,233,西南风,0,89,
19,8,217,西南风,0,87,72
18,9,121,东南风,0,81,70
17,9,225,西南风,0,81,68
16,8,58,东北风,0,91,69
15,8,139,东南风,0.1,96,69
14,8,109,东风,0,91,73
13,8,174,南风,0.1,90,74
12,9,145,东南风,0,78,72
11,9,188,南风,0,84,73
